orientation,case_id,frequency_hz,frequency_over_f0,sigma_re_S_m,sigma_im_S_m,phase_deg,n_components,max_component_voltage_span_V,electrode_mismatch
parallel,ideal_cluster,318.30988618379064,10.0,0.22316078697081315,0.0016633212241773817,0.4270442073556263,1,0.0,0.0017023993407396503
transverse,disconnected,3.1830988618379066,0.1,0.19870052446345593,0.0003944664115445116,0.11374519977076934,3,5.4318321021497603e-05,0.00010467306113806194
transverse,disconnected,5.660439166124679,0.1778279410038923,0.19878200030953203,0.0006871915386458002,0.19807134435064852,3,5.47434780922203e-05,0.00010775450595138392
transverse,disconnected,10.065842420897406,0.31622776601683794,0.1990191094269584,0.0011481255432534408,0.3305311656942366,3,5.6474575836102287e-05,0.00011623837192756966
transverse,disconnected,17.899880321778202,0.5623413251903491,0.19961033903742142,0.0017141299601016102,0.49200857364591866,3,6.335329008756493e-05,0.0001349850224412537
transverse,disconnected,31.830988618379063,1.0,0.20065145657079358,0.002023200198705222,0.5777027795220596,3,8.000087512757394e-05,0.0001625549566501697
transverse,disconnected,56.60439166124679,1.7782794100389228,0.2017109537483986,0.0017455768176666236,0.49581684118971747,3,9.598566648877436e-05,0.00018623078874803331
transverse,disconnected,100.65842420897407,3.1622776601683795,0.20233047313865474,0.0011828210213792865,0.3349464832256666,3,0.0001005764328718086,0.00019873223713030386
transverse,disconnected,178.998803217782,5.623413251903491,0.2025836256564006,0.0007124302597288793,0.20149248821959914,3,0.00010068352637840444,0.00020364444802649305
transverse,disconnected,318.30988618379064,10.0,0.20267192978253978,0.0004110027566244177,0.1161911818132115,3,0.00010155012385815706,0.00020536291596933936
transverse,single_edge_0p02,3.1830988618379066,0.1,0.19870052445302655,0.00039446636054750125,0.11374518507168555,3,4.007367650648058e-05,0.00010467306631336121
