network,edge,single_fraction,orthogonal_fraction,direction_factor
12,12,0.050642364148026635,0.037675284784203025,0.9976712910684912
12,13,0.21946020687087692,0.16427006993086501,0.9915791572717825
12,14,0.13511786910608511,0.1532405759593674,0.6544388293523534
12,15,0.006036858425952968,0.047757948355979594,0.0938199887885053
12,16,0.17133591871393206,0.12723003679920827,0.9995138399985104
12,17,0.04956127278090859,0.037057953342296564,0.9926383913259602
13,0,0.000434862295376379,0.0008198627068684675,0.18823281135271774
13,1,0.007875099456937078,0.00476000025967045,0.5871293323350445
13,2,0.005241017725731632,0.001879330141100362,0.9896856113951998
13,3,0.0029033076911255335,0.0013881157995057347,0.742253192283126
13,4,0.250279973444306,0.0966755255490085,0.9187434701951851
13,5,0.0012848595256878931,0.008977494407312173,0.05079081857915386
13,6,0.0013550610312706181,0.040374681356038666,0.011910622361470762
13,7,0.05852843137364358,0.026895581676888772,0.7722726423194143
13,8,0.0021770371142626507,0.3626334940553854,0.002130505331504688
13,9,0.03947035404951445,0.026034475547909008,0.5380304996532234
13,10,0.20455957124724475,0.09011980894648748,0.805534692621479
13,11,0.030405580110649793,0.01355895449993571,0.7958144073016349
13,12,0.15245565688507984,0.09107111081854118,0.5940836725072749
13,13,0.1075799691742623,0.04155686932756513,0.9186991185497055
13,14,0.1354492188749075,0.193254694907783,0.24873171154395537
14,0,0.001012619491341947,0.000541977250152487,0.9939423664130996
14,1,0.0036023706008249945,0.0030708434041823132,0.6240605023909731
14,2,0.00030528896656499376,0.003283178680637932,0.04946665763112471
14,3,0.005287096364430511,0.012221777448411558,0.23013296453670953
14,4,0.001222621970309866,0.011180143407657763,0.05817559028281439
14,5,0.02661659008834259,0.01966067734345048,0.7201946940958901
14,6,0.547868188689563,0.3071805401135158,0.9488080524181649
14,7,0.0015502899033731563,0.07870625925622687,0.010478512214110388
14,8,0.085131872347906,0.07172356680333705,0.6314315579638096
14,9,0.12772467310390612,0.0699238923231917,0.971729039659941
14,10,0.039310179933339864,0.06500979530739166,0.32167862982622486
14,11,0.06706467869234399,0.09276388220419421,0.38460144323868367
14,12,0.04019624726368212,0.16651607571320362,0.12841782762387075
14,13,0.05310728258407085,0.09821739074444658,0.28764820253395296
15,0,0.001146046978477291,0.0008800144418847586,0.9941513515437921
15,1,0.00034684633189653645,0.0007477559945380678,0.35409279408064637
15,2,0.0025899813581921616,0.0034421082043836738,0.5743967922500712
15,3,0.0039622509196133235,0.0032962301665181966,0.9176230863955303
15,4,0.0062323679137019795,0.018602390080990936,0.25575505256225817
15,5,0.0006681879201483948,0.0009708703284827042,0.5253845262200668
15,6,0.003048290557424823,0.0036549524184777216,0.6366701951665577
15,7,0.022985380712369396,0.0658941041028654,0.2662839741595879
15,8,0.011898975424856337,0.02946683140388418,0.308259177640896
15,9,0.00997613082492641,0.02713648322229352,0.28063928018681245
15,10,0.7355698789260312,0.5647336866699825,0.9943061569040891
15,11,0.0001471239453422426,0.004227617557107517,0.026566084883773995
15,12,0.00010677749802828071,0.014732753920982633,0.005532681776986108
15,13,0.0012345943763591295,0.062498581724285025,0.015079745725950743
15,14,0.170879815630287,0.15206736528857798,0.857816965987143
15,15,0.00247946247778026,0.005626103542311068,0.3364261192805498
15,16,0.026727888204565106,0.042022150932434076,0.4855413863167078
16,0,0.00010609714960150955,0.006377261412389402,0.009483739270798278
16,1,0.0002384051306248129,0.002916971478166306,0.04659008726117654
16,2,0.0015083240171761137,0.0008942328246218537,0.961510758513847
16,3,0.028164823006053667,0.01620282348511673,0.9908922567387567
